path,color_l,color_a,color_b,weight
dataset_v0.1/91Elsw0Gi0L._AC_SX679_.png,149,148,119,0.10339834893926349
dataset_v0.1/91Elsw0Gi0L._AC_SX679_.png,132,193,162,0.08318760185066569
dataset_v0.1/91Elsw0Gi0L._AC_SX679_.png,128,186,152,0.06255381141204125
dataset_v0.1/91Elsw0Gi0L._AC_SX679_.png,125,173,141,0.05396781891361276
dataset_v0.1/91Elsw0Gi0L._AC_SX679_.png,97,162,129,0.051944956697640196
dataset_v0.1/51BT80PiLsL._AC_SX679_.png,212,129,129,0.23742272613448143
dataset_v0.1/51BT80PiLsL._AC_SX679_.png,189,133,135,0.17446922772898557
dataset_v0.1/51BT80PiLsL._AC_SX679_.png,182,139,137,0.16720721916663397
dataset_v0.1/51BT80PiLsL._AC_SX679_.png,169,146,138,0.13678039891265978
dataset_v0.1/51BT80PiLsL._AC_SX679_.png,146,153,138,0.09748952333829133
dataset_v0.1/51BT80PiLsL._AC_SX679_.png,138,138,143,0.07009784251669175
dataset_v0.1/51BT80PiLsL._AC_SX679_.png,135,163,138,0.069802172870198
dataset_v0.1/51BT80PiLsL._AC_SX679_.png,134,129,146,0.046730889332058136
dataset_v0.1/719z3koucKS._AC_SX679_.png,49,143,110,0.19378251653927678
dataset_v0.1/719z3koucKS._AC_SX679_.png,61,143,110,0.15620173176856328
dataset_v0.1/719z3koucKS._AC_SX679_.png,40,140,113,0.1395446996320527
dataset_v0.1/719z3koucKS._AC_SX679_.png,43,143,111,0.13668951426675108
dataset_v0.1/719z3koucKS._AC_SX679_.png,56,141,113,0.1271069799877045
dataset_v0.1/719z3koucKS._AC_SX679_.png,47,141,112,0.12307118235565792
dataset_v0.1/719z3koucKS._AC_SX679_.png,41,141,113,0.10275914592184102
dataset_v0.1/719z3koucKS._AC_SX679_.png,75,130,126,0.020844229528152708
dataset_v0.1/71W8UrxiOPL._AC_SY879_.png,208,127,133,0.2153035259905489
dataset_v0.1/71W8UrxiOPL._AC_SY879_.png,138,127,131,0.1466406155337453
dataset_v0.1/71W8UrxiOPL._AC_SY879_.png,152,128,131,0.14272688719253604
dataset_v0.1/71W8UrxiOPL._AC_SY879_.png,48,127,131,0.13404519568641707
dataset_v0.1/71W8UrxiOPL._AC_SY879_.png,196,127,133,0.1283412092572398
dataset_v0.1/71W8UrxiOPL._AC_SY879_.png,54,128,131,0.09698291530352598
dataset_v0.1/71W8UrxiOPL._AC_SY879_.png,75,127,134,0.07516054767963165
dataset_v0.1/71W8UrxiOPL._AC_SY879_.png,80,128,134,0.060799103356355265
dataset_v0.1/51oC1790FGL._AC_SX679_.png,79,140,82,0.22330363493659708
dataset_v0.1/51oC1790FGL._AC_SX679_.png,73,141,83,0.22205887763361212
dataset_v0.1/51oC1790FGL._AC_SX679_.png,103,139,79,0.15738821711510634
dataset_v0.1/51oC1790FGL._AC_SX679_.png,88,141,79,0.15324004807338548
dataset_v0.1/51oC1790FGL._AC_SX679_.png,84,139,82,0.15256095018518065
dataset_v0.1/51oC1790FGL._AC_SX679_.png,81,138,86,0.0665684555198548
dataset_v0.1/51oC1790FGL._AC_SX679_.png,63,134,96,0.012818547496995413
dataset_v0.1/51oC1790FGL._AC_SX679_.png,92,127,121,0.012061269039268107
dataset_v0.1/61ZCV0XBsQL._AC_SX679_.png,131,153,147,0.2143223093302878
dataset_v0.1/61ZCV0XBsQL._AC_SX679_.png,93,149,144,0.2078167777605815
dataset_v0.1/61ZCV0XBsQL._AC_SX679_.png,83,152,146,0.16688102722290118
